chr	start	end
chr1	32237328	32237828
chr1	32410189	32410689
chr1	32574562	32575062
chr1	32666732	32667232
chr1	32705525	32706025
chr1	32741211	32741711
chr1	32801860	32802360
chr1	32859271	32859771
chr1	33360970	33361470
chr1	33547525	33548025
chr1	33626760	33627260
chr1	34642383	34642883
chr1	35258565	35259065
chr1	35351379	35351879
chr1	35442738	35443238
chr1	35545428	35545928
chr1	35587832	35588332
chr1	36042928	36043428
chr1	36172907	36173407
chr1	36184749	36185249
chr1	36643757	36644257
chr1	36786501	36787001
chr1	37783612	37784112
chr1	37980572	37981072
chr1	38022607	38023107
chr1	38158543	38159043
chr1	38229580	38230080
chr1	38461085	38461585
chr1	38940420	38940920
chr1	39281610	39282110
chr1	39324316	39324816
chr1	40204813	40205313
chr1	40598509	40599009
chr1	40915106	40915606
chr1	41250091	41250591
chr1	41283841	41284341
chr1	41849265	41849765
chr1	41981789	41982289
chr1	42921217	42921717
chr1	42929298	42929798
chr1	43250763	43251263
chr1	43390336	43390836
chr1	43472868	43473368
chr1	43637004	43637504
chr1	43814806	43815306
chr1	44495130	44495630
chr1	44874610	44875110
chr1	45242514	45243014
chr1	45251861	45252361
chr1	45266535	45267035
chr1	45278766	45279266
chr1	45986164	45986664
chr1	46015904	46016404
chr1	46048591	46049091
chr1	46632190	46632690
chr1	46668822	46669322
chr1	46860225	46860725
chr1	46932631	46933131
chr1	47134175	47134675
chr1	47489227	47489727
chr1	47694505	47695005
chr1	47899126	47899626
chr1	47910213	47910713
chr1	47915640	47916140
chr1	47998900	47999400
chr1	48058794	48059294
chr1	48190757	48191257
chr1	50890917	50891417
chr1	51442312	51442812
chr1	51795598	51796098
chr1	52608401	52608901
chr1	53099130	53099630
chr1	53163189	53163689
chr1	53386618	53387118
chr1	53528573	53529073
chr1	53704460	53704960
chr1	53791188	53791688
chr1	54821991	54822491
chr1	55008205	55008705
chr1	55247243	55247743
chr1	55506061	55506561
chr1	56942902	56943402
chr1	58714273	58714773
chr1	59041514	59042014
chr1	59280241	59280741
chr1	61509143	61509643
chr1	61519876	61520376
chr1	62660556	62661056
chr1	64937055	64937555
chr1	65432456	65432956
chr1	65612542	65613042
chr1	65721048	65721548
chr1	66998729	66999229
chr1	67389469	67389969
chr1	67600391	67600891
chr1	67772830	67773330
chr1	68299372	68299872
chr1	71512225	71512725
chr1	75593318	75593818
chr1	75602814	75603314
chr1	76191417	76191917
chr1	77334612	77335112
chr1	78147218	78147718
chr1	78511078	78511578
chr1	79472282	79472782
chr1	84326268	84326768
chr1	85464086	85464586
chr1	85513010	85513510
chr1	86043730	86044230
chr1	86081701	86082201
chr1	86620779	86621279
chr1	87169376	87169876
chr1	87598044	87598544
chr1	87617154	87617654
chr1	89457035	89457535
chr1	90099731	90100231
chr1	90228245	90228745
chr1	90287690	90288190
chr1	91190598	91191098
chr1	91300980	91301480
chr1	92352414	92352914
chr1	92414219	92414719
chr1	92945908	92946408
chr1	94375370	94375870
chr1	94883026	94883526
chr1	95006338	95006838
chr1	95390838	95391338
chr1	95698726	95699226
chr1	98509967	98510467
chr1	106623394	106623894
chr1	108023233	108023733
chr1	109204094	109204594
chr1	109418545	109419045
chr1	109939575	109940075
chr1	110008463	110008963
chr1	110185962	110186462
chr1	110199042	110199542
chr1	110210582	110211082
chr1	110610766	110611266
chr1	110626529	110627029
chr1	110752257	110752757
chr1	111146984	111147484
chr1	111216245	111216745
chr1	111323224	111323724
chr1	111813412	111813912
chr1	112058185	112058685
chr1	112531060	112531560
chr1	113265386	113265886
chr1	113392643	113393143
chr1	113499487	113499987
chr1	114697637	114698137
chr1	115397449	115397949
chr1	116914792	116915292
chr1	117112461	117112961
chr1	117452204	117452704
chr1	118727817	118728317
chr1	119535283	119535783
chr1	120255345	120255845
chr1	120439014	120439514
chr1	121260358	121260858
chr1	144533204	144533704
chr1	144930840	144931340
chr1	145075984	145076484
chr1	145382917	145383417
chr1	146374991	146375491
chr1	146543988	146544488
chr1	146549351	146549851
chr1	146649623	146650123
chr1	147718157	147718657
chr1	147736950	147737450
chr1	147782067	147782567
chr1	147790153	147790653
chr1	147807401	147807901
chr1	147826168	147826668
chr1	148000811	148001311
chr1	148248110	148248610
chr1	149146209	149146709
chr1	149286813	149287313
chr1	149332994	149333494
chr1	149672492	149672992
chr1	149718543	149719043
chr1	150254866	150255366
chr1	150292836	150293336
chr1	150521850	150522350
chr1	150849495	150849995
chr1	150898120	150898620
chr1	150947497	150947997
chr1	151103686	151104186
chr1	151118050	151118550
chr1	151300523	151301023
chr1	151811461	151811961
chr1	151882264	151882764
chr1	151966658	151967158
chr1	152161322	152161822
chr1	153938782	153939282
chr1	154156269	154156769
chr1	154301206	154301706
chr1	154732823	154733323
chr1	154908463	154908963
chr1	155034926	155035426
chr1	155054156	155054656
chr1	155098435	155098935
chr1	155109008	155109508
chr1	155220083	155220583
chr1	155264819	155265319
chr1	155277908	155278408
chr1	155290107	155290607
chr1	155533915	155534415
chr1	155903073	155903573
chr1	156046344	156046844
chr1	156186085	156186585
chr1	156261200	156261700
chr1	156357551	156358051
chr1	156392404	156392904
chr1	156593658	156594158
chr1	156612140	156612640
chr1	156818882	156819382
chr1	156862416	156862916
chr1	156877770	156878270
chr1	157164539	157165039
chr1	157948721	157949221
chr1	158150934	158151434
chr1	159869902	159870402
chr1	161008378	161008878
chr1	161068563	161069063
chr1	161128639	161129139
chr1	161147562	161148062
chr1	161494525	161495025
chr1	161582534	161583034
chr1	164545541	164546041
chr1	165326204	165326704
chr1	166853254	166853754
chr1	166916866	166917366
chr1	167090576	167091076
chr1	167408513	167409013
chr1	167682478	167682978
chr1	168104817	168105317
chr1	170634957	170635457
chr1	171751400	171751900
chr1	171809968	171810468
chr1	173446979	173447479
chr1	173794289	173794789
chr1	173836173	173836673
chr1	173989806	173990306
chr1	175568377	175568877
chr1	178455800	178456300
chr1	178512863	178513363
chr1	179263272	179263772
chr1	179545221	179545721
chr1	179713448	179713948
chr1	180882317	180882817
chr1	180922416	180922916
chr1	181057004	181057504
chr1	181454312	181454812
chr1	182025605	182026105
chr1	182584178	182584678
chr1	184633224	184633724
chr1	192778633	192779133
chr1	196578209	196578709
chr1	196847159	196847659
chr1	197889517	197890017
chr1	200004475	200004975
chr1	200271777	200272277
chr1	200842697	200843197
chr1	200992783	200993283
chr1	201252953	201253453
chr1	201438520	201439020
chr1	201450381	201450881
chr1	201476386	201476886
chr1	201618042	201618542
chr1	201708788	201709288
chr1	203045223	203045723
chr1	203242520	203243020
chr1	203276306	203276806
chr1	203456816	203457316
chr1	203598472	203598972
chr1	204044246	204044746
chr1	204159599	204160099
chr1	204226545	204227045
chr1	204346733	204347233
chr1	204485974	204486474
chr1	205313494	205313994
chr1	205818899	205819399
chr1	206223038	206223538
chr1	207082194	207082694
chr1	207818390	207818890
chr1	207926672	207927172
chr1	208042863	208043363
chr1	208083599	208084099
chr1	209979317	209979817
chr1	210407453	210407953
chr1	210502634	210503134
chr1	211652307	211652807
chr1	211849142	211849642
chr1	212002932	212003432
chr1	212457468	212457968
chr1	212687532	212688032
chr1	212871961	212872461
chr1	213189520	213190020
chr1	213224112	213224612
chr1	213562740	213563240
chr1	214158715	214159215
chr1	217311245	217311745
chr1	217804768	217805268
chr1	220920912	220921412
chr1	220960517	220961017
chr1	221064949	221065449
chr1	222885327	222885827
chr1	223936343	223936843
chr1	224371586	224372086
chr1	225662266	225662766
chr1	225865069	225865569
chr1	225964831	225965331
chr1	225998647	225999147
chr1	226112143	226112643
chr1	226187304	226187804
chr1	226248958	226249458
chr1	226595834	226596334
chr1	226923561	226924061
chr1	227163240	227163740
chr1	227729516	227730016
chr1	227748658	227749158
chr1	227974429	227974929
chr1	228075378	228075878
chr1	228195597	228196097
chr1	228289670	228290170
chr1	228345878	228346378
chr1	228462886	228463386
chr1	228566450	228566950
chr1	228657328	228657828
chr1	228756497	228756997
chr1	229542944	229543444
chr1	229568707	229569207
chr1	230560104	230560604
chr1	230777578	230778078
chr1	231296560	231297060
chr1	231472013	231472513
chr1	232941555	232942055
chr1	233750874	233751374
chr1	234041299	234041799
chr1	235292241	235292741
chr1	235805319	235805819
chr1	235814342	235814842
chr1	236227183	236227683
chr1	236306259	236306759
chr1	236686572	236687072
chr1	236849973	236850473
chr1	240256960	240257460
chr1	243264941	243265441
chr1	243645895	243646395
chr1	244094756	244095256
chr1	244217275	244217775
chr1	245854040	245854540
chr1	246671149	246671649
chr1	246952215	246952715
chr1	247170369	247170869
chr1	247274086	247274586
chr1	247495750	247496250
chr1	248100326	248100826
chr1	249153412	249153912
chr1	249166909	249167409
chr2	47011	47511
chr2	263401	263901
chr2	468850	469350
chr2	946687	947187
chr2	1595403	1595903
chr2	1746334	1746834
chr2	3292325	3292825
chr2	3642548	3643048
chr2	5831188	5831688
chr2	7057031	7057531
chr2	7171797	7172297
chr2	7571072	7571572
chr2	8723856	8724356
chr2	8816315	8816815
chr2	9142128	9142628
chr2	9613695	9614195
chr2	10182636	10183136
chr2	10263280	10263780
chr2	10444809	10445309
chr2	11622001	11622501
chr2	11810107	11810607
chr2	11924984	11925484
chr2	12858626	12859126
chr2	14772878	14773378
chr2	16082802	16083302
chr2	16153945	16154445
chr2	19552983	19553483
chr2	20068429	20068929
chr2	20190089	20190589
chr2	20425589	20426089
chr2	20871290	20871790
chr2	21266670	21267170
chr2	24233181	24233681
chr2	24299970	24300470
chr2	24306527	24307027
chr2	25354284	25354784
chr2	25390573	25391073
chr2	25499764	25500264
chr2	26204555	26205055
chr2	26396917	26397417
chr2	26407923	26408423
chr2	26726190	26726690
chr2	26785615	26786115
chr2	27309813	27310313
chr2	27440629	27441129
chr2	27529584	27530084
chr2	27603842	27604342
chr2	27664940	27665440
chr2	27717182	27717682
chr2	28112561	28113061
chr2	29033852	29034352
chr2	29338984	29339484
chr2	30453067	30453567
chr2	30670489	30670989
chr2	31457241	31457741
chr2	33824811	33825311
chr2	36581898	36582398
chr2	38151632	38152132
chr2	38300777	38301277
chr2	39103306	39103806
chr2	39472243	39472743
chr2	39664898	39665398
chr2	39892122	39892622
chr2	40679478	40679978
chr2	42329301	42329801
chr2	43020166	43020666
chr2	43037979	43038479
chr2	43327937	43328437
chr2	43398041	43398541
chr2	43864823	43865323
chr2	44058766	44059266
chr2	45029956	45030456
chr2	45168196	45168696
chr2	45180229	45180729
chr2	45235645	45236145
chr2	45397370	45397870
chr2	45879679	45880179
chr2	46526790	46527290
chr2	46768472	46768972
chr2	47167359	47167859
chr2	47598130	47598630
chr2	48009309	48009809
chr2	50573546	50574046
chr2	54784527	54785027
chr2	55747676	55748176
chr2	63272128	63272628
chr2	64682012	64682512
chr2	64836707	64837207
chr2	65086305	65086805
chr2	65217099	65217599
chr2	65354736	65355236
chr2	66672432	66672932
chr2	66810391	66810891
chr2	69968250	69968750
chr2	70140860	70141360
chr2	70313201	70313701
chr2	70352316	70352816
chr2	71116234	71116734
chr2	71133721	71134221
chr2	71206064	71206564
chr2	71355688	71356188
chr2	71454589	71455089
chr2	71558224	71558724
chr2	72370797	72371297
chr2	73152556	73153056
chr2	74210715	74211215
chr2	74229978	74230478
chr2	74357575	74358075
chr2	74375339	74375839
chr2	74642234	74642734
chr2	74663316	74663816
chr2	74730540	74731040
chr2	74743456	74743956
chr2	74775517	74776017
chr2	74781995	74782495
chr2	74875129	74875629
chr2	75873482	75873982
chr2	80529178	80529678
chr2	80549579	80550079
chr2	85106732	85107232
chr2	85361457	85361957
chr2	85553635	85554135
chr2	85581119	85581619
chr2	85640470	85640970
chr2	85838240	85838740
chr2	85980000	85980500
chr2	86116591	86117091
chr2	86565743	86566243
chr2	87015975	87016475
chr2	87036659	87037159
chr2	88316734	88317234
chr2	88354341	88354841
chr2	88649748	88650248
chr2	88750836	88751336
chr2	89064494	89064994
chr2	95663959	95664459
chr2	95786590	95787090
chr2	95824303	95824803
chr2	96012633	96013133
chr2	96054895	96055395
chr2	96192972	96193472
chr2	96990528	96991028
chr2	97192978	97193478
chr2	97427336	97427836
chr2	97479857	97480357
chr2	97505220	97505720
chr2	97524357	97524857
chr2	99553686	99554186
chr2	101437480	101437980
chr2	101925365	101925865
chr2	102313050	102313550
chr2	102759307	102759807
chr2	102803673	102804173
chr2	103236377	103236877
chr2	105275589	105276089
chr2	106362533	106363033
chr2	106959116	106959616
chr2	107503854	107504354
chr2	109067010	109067510
chr2	110372907	110373407
chr2	110872946	110873446
chr2	111875207	111875707
chr2	112895293	112895793
chr2	112917111	112917611
chr2	112939288	112939788
chr2	112944812	112945312
chr2	113012609	113013109
chr2	113298904	113299404
chr2	113341185	113341685
chr2	113956844	113957344
chr2	114034360	114034860
chr2	114514713	114515213
chr2	115419729	115420229
chr2	115918238	115918738
chr2	118982270	118982770
chr2	119591603	119592103
chr2	119599060	119599560
chr2	119769144	119769644
chr2	120005515	120006015
chr2	120188523	120189023
chr2	120302203	120302703
chr2	121200224	121200724
chr2	121334309	121334809
chr2	121345051	121345551
chr2	121411984	121412484
chr2	121499358	121499858
chr2	121625328	121625828
chr2	122405399	122405899
chr2	124782253	124782753
chr2	127413197	127413697
chr2	127782614	127783114
chr2	127863143	127863643
chr2	128050848	128051348
chr2	128158438	128158938
chr2	128180295	128180795
chr2	128453175	128453675
chr2	128459845	128460345
chr2	129659300	129659800
chr2	130763484	130763984
chr2	130901621	130902121
chr2	131009570	131010070
chr2	131114091	131114591
chr2	131129219	131129719
chr2	131556097	131556597
chr2	131673687	131674187
chr2	131792738	131793238
chr2	131797863	131798363
chr2	131851473	131851973
chr2	132152650	132153150
chr2	132285909	132286409
chr2	132430711	132431211
chr2	132440334	132440834
chr2	132558960	132559460
chr2	133175033	133175533
chr2	133428653	133429153
chr2	134785626	134786126
chr2	135475199	135475699
chr2	135674773	135675273
chr2	136287471	136287971
chr2	139258534	139259034
chr2	139538193	139538693
chr2	145090454	145090954
chr2	145147124	145147624
chr2	149895523	149896023
chr2	152117384	152117884
chr2	152145370	152145870
chr2	157176252	157176752
chr2	157185390	157185890
chr2	158453800	158454300
chr2	159824355	159824855
chr2	160142108	160142608
chr2	160760605	160761105
chr2	161263372	161263872
chr2	162093961	162094461
chr2	162101440	162101940
chr2	162271389	162271889
chr2	162283836	162284336
chr2	162929734	162930234
chr2	164204741	164205241
chr2	166649910	166650410
chr2	169313918	169314418
chr2	170624685	170625185
chr2	171569323	171569823
chr2	171679611	171680111
chr2	171828911	171829411
chr2	172944989	172945489
chr2	172965768	172966268
chr2	173419701	173420201
chr2	173941415	173941915
chr2	174220534	174221034
chr2	175112427	175112927
chr2	176931576	176932076
chr2	176965088	176965588
chr2	176996925	176997425
chr2	177004222	177004722
chr2	177016372	177016872
chr2	177029002	177029502
chr2	177054458	177054958
chr2	177355072	177355572
chr2	177501741	177502241
chr2	182321262	182321762
chr2	182549374	182549874
chr2	183730809	183731309
chr2	187453900	187454400
chr2	187713347	187713847
chr2	192543574	192544074
chr2	197033590	197034090
chr2	197458393	197458893
chr2	198029069	198029569
chr2	198570912	198571412
chr2	200326503	200327003
chr2	200331688	200332188
chr2	200468552	200469052
chr2	200819054	200819554
chr2	201451027	201451527
chr2	201828516	201829016
chr2	202483585	202484085
chr2	202644888	202645388
chr2	202900387	202900887
chr2	203036052	203036552
chr2	204102965	204103465
chr2	206551104	206551604
chr2	207022911	207023411
chr2	207308767	207309267
chr2	207506775	207507275
chr2	208491929	208492429
chr2	208575002	208575502
chr2	208632059	208632559
chr2	208795526	208796026
chr2	208976901	208977401
chr2	208988835	208989335
chr2	213400681	213401181
chr2	215674996	215675496
chr2	216177050	216177550
chr2	216877400	216877900
chr2	216972306	216972806
chr2	218621280	218621780
chr2	218898491	218898991
chr2	219081154	219081654
chr2	219252422	219252922
chr2	219848292	219848792
chr2	219922172	219922672
chr2	220083992	220084492
chr2	220174022	220174522
chr2	220196432	220196932
chr2	220305856	220306356
chr2	220348456	220348956
chr2	220361963	220362463
chr2	220406657	220407157
chr2	220416364	220416864
chr2	220461808	220462308
chr2	223158727	223159227
chr2	223289923	223290423
chr2	223916577	223917077
chr2	230933469	230933969
chr2	231693198	231693698
chr2	231730132	231730632
chr2	231903027	231903527
chr2	231920292	231920792
chr2	232063674	232064174
chr2	232348217	232348717
chr2	232379449	232379949
chr2	232469648	232470148
chr2	232479360	232479860
chr2	232545348	232545848
chr2	232570638	232571138
chr2	232765247	232765747
chr2	233216681	233217181
chr2	233250862	233251362
chr2	233283898	233284398
chr2	233367281	233367781
chr2	233387615	233388115
chr2	233497327	233497827
chr2	233765850	233766350
chr2	233791784	233792284
chr2	233925092	233925592
chr2	234369787	234370287
chr2	234386359	234386859
chr2	235859118	235859618
chr2	236293301	236293801
chr2	236401800	236402300
chr2	236773884	236774384
chr2	236867653	236868153
chr2	237071572	237072072
chr2	237416091	237416591
chr2	237476812	237477312
chr2	238535562	238536062
chr2	238864316	238864816
chr2	239049572	239050072
chr2	239139597	239140097
chr2	239197924	239198424
chr2	239758097	239758597
chr2	240008283	240008783
chr2	240111815	240112315
chr2	240196769	240197269
chr2	240323778	240324278
chr2	240868279	240868779
chr2	241393377	241393877
chr2	241459633	241460133
chr2	241506423	241506923
chr2	241526623	241527123
chr2	241561970	241562470
chr2	241758142	241758642
chr2	241770656	241771156
chr2	241853375	241853875
chr2	241922778	241923278
chr2	241938717	241939217
chr2	241975907	241976407
chr2	242140274	242140774
chr2	242446518	242447018
chr2	242479945	242480445
chr2	242499014	242499514
chr2	242626962	242627462
chr2	242676154	242676654
chr2	242743599	242744099
chr2	242754324	242754824
chr2	242808753	242809253
chr2	242824447	242824947
chr3	237892	238392
chr3	350661	351161
chr3	2141530	2142030
chr3	4344506	4345006
chr3	4909463	4909963
chr3	5024377	5024877
chr3	5137549	5138049
chr3	6903324	6903824
chr3	8809962	8810462
chr3	9594069	9594569
chr3	9851977	9852477
chr3	9904332	9904832
chr3	9987396	9987896
chr3	10183806	10184306
chr3	10858188	10858688
chr3	11608138	11608638
chr3	12200184	12200684
chr3	12949700	12950200
chr3	13115128	13115628
chr3	13245693	13246193
chr3	13323439	13323939
chr3	13461971	13462471
chr3	13520413	13520913
chr3	14339250	14339750
chr3	14597401	14597901
chr3	14851330	14851830
chr3	19987834	19988334
chr3	20226790	20227290
chr3	23243551	23244051
chr3	24537345	24537845
chr3	25825337	25825837
chr3	26665605	26666105
chr3	27755838	27756338
chr3	27765352	27765852
chr3	27770639	27771139
chr3	28389476	28389976
chr3	30649488	30649988
chr3	31576803	31577303
chr3	32021470	32021970
chr3	32508766	32509266
chr3	32612701	32613201
chr3	32861195	32861695
chr3	33156228	33156728
chr3	35681510	35682010
chr3	36422203	36422703
chr3	37033729	37034229
chr3	37284059	37284559
chr3	37903939	37904439
chr3	38035202	38035702
chr3	38070244	38070744
chr3	38081129	38081629
chr3	38388623	38389123
chr3	39147878	39148378
chr3	39543772	39544272
chr3	39852026	39852526
chr3	40518018	40518518
chr3	40546892	40547392
chr3	40657160	40657660
chr3	42306445	42306945
chr3	42544321	42544821
chr3	42699529	42700029
chr3	42814068	42814568
chr3	42844437	42844937
chr3	43021203	43021703
chr3	43731499	43731999
chr3	44035908	44036408
chr3	45836981	45837481
chr3	46506162	46506662
chr3	46618308	46618808
chr3	46742765	46743265
chr3	46853728	46854228
chr3	47020380	47020880
chr3	47048987	47049487
chr3	47421083	47421583
chr3	47515998	47516498
chr3	47555806	47556306
chr3	47618113	47618613
chr3	47843622	47844122
chr3	47865975	47866475
chr3	48342085	48342585
chr3	48693119	48693619
chr3	48955311	48955811
chr3	49056715	49057215
chr3	49236568	49237068
chr3	49377841	49378341
chr3	49394856	49395356
chr3	49591079	49591579
chr3	49756264	49756764
chr3	49839604	49840104
chr3	49939600	49940100
chr3	50192972	50193472
chr3	50230931	50231431
chr3	50275269	50275769
chr3	50310946	50311446
chr3	50365807	50366307
chr3	50375265	50375765
chr3	50388460	50388960
chr3	50395848	50396348
chr3	50541221	50541721
chr3	50607406	50607906
chr3	52010211	52010711
chr3	52088153	52088653
chr3	52279102	52279602
chr3	52313070	52313570
chr3	52570010	52570510
chr3	53078457	53078957
chr3	53190510	53191010
chr3	53381846	53382346
chr3	53529428	53529928
chr3	53880639	53881139
chr3	55515153	55515653
chr3	56836151	56836651
chr3	57584021	57584521
chr3	57742926	57743426
chr3	57994839	57995339
chr3	58292814	58293314
chr3	61235607	61236107
chr3	61549329	61549829
chr3	62362792	62363292
chr3	64253534	64254034
chr3	65342204	65342704
chr3	66025374	66025874
chr3	67705129	67705629
chr3	68980284	68980784
chr3	69061660	69062160
chr3	71804061	71804561
chr3	72704324	72704824
chr3	72787573	72788073
chr3	73044835	73045335
chr3	73159858	73160358
chr3	74662507	74663007
chr3	75704573	75705073
chr3	75721117	75721617
chr3	75955760	75956260
chr3	79815639	79816139
chr3	87137726	87138226
chr3	96534024	96534524
chr3	97542165	97542665
chr3	98452787	98453287
chr3	101405810	101406310
chr3	101497331	101497831
chr3	101567608	101568108
chr3	105072530	105073030
chr3	107148321	107148821
chr3	107810376	107810876
chr3	111697240	111697740
chr3	112051894	112052394
chr3	112929438	112929938
chr3	113160300	113160800
chr3	113252200	113252700
chr3	119528921	119529421
chr3	121903243	121903743
chr3	122640714	122641214
chr3	124860070	124860570
chr3	125075916	125076416
chr3	125311987	125312487
chr3	125709067	125709567
chr3	125986545	125987045
chr3	126007244	126007744
chr3	126113548	126114048
chr3	126135051	126135551
chr3	126193184	126193684
chr3	126423389	126423889
chr3	126702873	126703373
chr3	127056837	127057337
chr3	127348683	127349183
chr3	127795370	127795870
chr3	127842819	127843319
chr3	128151157	128151657
chr3	128211996	128212496
chr3	128274437	128274937
chr3	128336907	128337407
chr3	128370430	128370930
chr3	128398982	128399482
chr3	128712405	128712905
chr3	128722366	128722866
chr3	128840935	128841435
chr3	129346168	129346668
chr3	130235990	130236490
chr3	130744889	130745389
chr3	131245722	131246222
chr3	132439714	132440214
chr3	133290704	133291204
chr3	133393119	133393619
chr3	133464950	133465450
chr3	133524069	133524569
chr3	133613567	133614067
chr3	134031663	134032163
chr3	134092258	134092758
chr3	134513586	134514086
chr3	136579876	136580376
chr3	138152770	138153270
chr3	138311981	138312481
chr3	138655838	138656338
chr3	138668219	138668719
chr3	138679245	138679745
chr3	139257713	139258213
chr3	140813914	140814414
chr3	141120484	141120984
chr3	141516056	141516556
chr3	142443703	142444203
chr3	142666199	142666699
chr3	145879431	145879931
chr3	146187109	146187609
chr3	147077116	147077616
chr3	147115012	147115512
chr3	147130489	147130989
chr3	147136404	147136904
chr3	148804405	148804905
chr3	149374710	149375210
chr3	150804997	150805497
chr3	151178624	151179124
chr3	152553603	152554103
chr3	153840288	153840788
chr3	154146348	154146848
chr3	155462918	155463418
chr3	156391312	156391812
chr3	156807189	156807689
chr3	156837984	156838484
chr3	157154768	157155268
chr3	157260667	157261167
chr3	158288301	158288801
chr3	158449296	158449796
chr3	158519010	158519510
chr3	159942417	159942917
chr3	160167685	160168185
chr3	160474811	160475311
chr3	169378438	169378938
chr3	169384269	169384769
chr3	169529376	169529876
chr3	169683895	169684395
chr3	169758095	169758595
chr3	170137243	170137743
chr3	170625332	170625832
chr3	172165373	172165873
chr3	173115771	173116271
chr3	179755021	179755521
chr3	180319324	180319824
chr3	181428142	181428642
chr3	181438185	181438685
chr3	181442910	181443410
chr3	182896421	182896921
chr3	182972430	182972930
chr3	183543497	183543997
chr3	183734684	183735184
chr3	183905887	183906387
chr3	184099096	184099596
chr3	184210095	184210595
chr3	184230802	184231302
chr3	184280195	184280695
chr3	184290436	184290936
chr3	184301618	184302118
chr3	184319377	184319877
chr3	184871186	184871686
chr3	185303323	185303823
chr3	185544049	185544549
chr3	185911845	185912345
chr3	186078711	186079211
chr3	186543417	186543917
chr3	186647675	186648175
chr3	187387915	187388415
chr3	187870979	187871479
chr3	188665276	188665776
